"Date","State","Employed_Persons"
"Aug-1979","Queensland",906.4
"Aug-1979","South.Australia",548.8
"Aug-1979","Western.Australia",530.2
"Aug-1979","Tasmania",172.9
"Aug-1979","Northern.Territory",49.1
"Aug-1979","Australian.Capital.Territory",95.4
"Sep-1979","New.South.Wales",2162.3
"Sep-1979","Victoria",1667.2
"Sep-1979","Queensland",915.5
"Sep-1979","South.Australia",555.7
"Sep-1979","Western.Australia",542.5
"Sep-1979","Tasmania",171.1
"Sep-1979","Northern.Territory",47.8
"Sep-1979","Australian.Capital.Territory",95.8
"Oct-1979","New.South.Wales",2164.2
"Oct-1979","Victoria",1666.1
"Oct-1979","Queensland",926.8
"Oct-1979","South.Australia",552.2
"Oct-1979","Western.Australia",537.1
"Oct-1979","Tasmania",173.8
"Oct-1979","Northern.Territory",48.3
"Oct-1979","Australian.Capital.Territory",95.6
"Nov-1979","New.South.Wales",2182.9
"Nov-1979","Victoria",1682
"Nov-1979","Queensland",914.5
"Nov-1979","South.Australia",551.4
"Nov-1979","Western.Australia",538.1
"Nov-1979","Tasmania",173.2
"Nov-1979","Northern.Territory",48.6
"Nov-1979","Australian.Capital.Territory",98
"Dec-1979","New.South.Wales",2200.7
"Dec-1979","Victoria",1702.7
"Dec-1979","Queensland",920.9
"Dec-1979","South.Australia",562.7
"Dec-1979","Western.Australia",548.9
"Dec-1979","Tasmania",172.2
"Dec-1979","Northern.Territory",50.3
"Dec-1979","Australian.Capital.Territory",98.8
"Jan-1980","New.South.Wales",2155.5
"Jan-1980","Victoria",1664.5
"Jan-1980","Queensland",894.6
"Jan-1980","South.Australia",546.9
"Jan-1980","Western.Australia",539.1
"Jan-1980","Tasmania",169.1
"Jan-1980","Northern.Territory",48.3
"Jan-1980","Australian.Capital.Territory",94.9
"Feb-1980","New.South.Wales",2188.2
"Feb-1980","Victoria",1689.7
"Feb-1980","Queensland",913.7
"Feb-1980","South.Australia",552.2
"Feb-1980","Western.Australia",542
"Feb-1980","Tasmania",173.1
"Feb-1980","Northern.Territory",51.8
