Survey month,State and territory,Leave entitlements,Industry,Median Weekly Earnings,,,,,,,,,,,,,,
2014,   South Australia,Total employees,Education and training,"1,400.0",,,,,,,,,,,,,,
2014,   South Australia,Total employees,Health care and social assistance,"1,054.2",,,,,,,,,,,,,,
2014,   South Australia,Total employees,Arts and recreation services,"1,255.5",,,,,,,,,,,,,,
2014,   South Australia,Total employees,Other services,933.7,,,,,,,,,,,,,,
2014,   Western Australia,Total employees,"Agriculture, forestry and fishing","1,271.2",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Mining,"2,220.4",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Manufacturing,"1,261.3",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,"Electricity, gas, water and waste services","2,007.8",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Construction,"1,560.0",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Wholesale trade,"1,296.1",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Retail trade,"1,000.0",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Accommodation and food services,"1,011.2",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,"Transport, postal and warehousing","1,250.0",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Information Media and telecommunications,"1,200.0",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Financial and insurance services,"1,366.4",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,"Rental, hiring and real estate services","1,199.5",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,"Professional, scientific and technical services","1,490.9",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Administrative and support services,"1,300.0",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Public administration and safety,"1,500.0",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Education and training,"1,580.8",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Health care and social assistance,"1,244.5",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Arts and recreation services,"1,023.6",,,,,,,,,,,,,,
2014,   Western Australia,Total employees,Other services,"1,200.0",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,"Agriculture, forestry and fishing",960.8,,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Mining,"1,845.0",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Manufacturing,"1,020.0",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,"Electricity, gas, water and waste services","1,313.9",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Construction,"1,077.3",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Wholesale trade,"1,024.0",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Retail trade,850.0,,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Accommodation and food services,957.7,,,,,,,,,,,,,,
2014,   Tasmania,Total employees,"Transport, postal and warehousing","1,187.0",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Information Media and telecommunications,"1,134.1",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Financial and insurance services,"1,074.2",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,"Rental, hiring and real estate services",851.5,,,,,,,,,,,,,,
2014,   Tasmania,Total employees,"Professional, scientific and technical services","1,155.0",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Administrative and support services,798.2,,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Public administration and safety,"1,282.8",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Education and training,"1,422.7",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Health care and social assistance,"1,050.0",,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Arts and recreation services,949.3,,,,,,,,,,,,,,
2014,   Tasmania,Total employees,Other services,890.5,,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,"Agriculture, forestry and fishing",0.0,,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Mining,"2,145.1",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Manufacturing,"1,689.8",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,"Electricity, gas, water and waste services","1,984.9",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Construction,"1,526.6",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Wholesale trade,"1,215.6",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Retail trade,924.8,,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Accommodation and food services,929.3,,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,"Transport, postal and warehousing","1,534.1",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Information Media and telecommunications,"1,498.1",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Financial and insurance services,"1,490.8",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,"Rental, hiring and real estate services","1,191.9",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,"Professional, scientific and technical services","1,836.1",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Administrative and support services,854.8,,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Public administration and safety,"1,500.0",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Education and training,"1,400.0",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Health care and social assistance,"1,300.0",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Arts and recreation services,"1,177.3",,,,,,,,,,,,,,
2014,   Northern Territory,Total employees,Other services,"1,349.5",,,,,,,,,,,,,,
